  135  2023-12-21, 01:33:47ls
  136  2023-12-21, 01:33:50cd test1/
  137  2023-12-21, 01:33:59qsub QueueTensorFlowJob.pbs
  138  2023-12-21, 01:34:12pwd
  139  2023-12-21, 01:34:33qstat
  140  2023-12-21, 01:37:07qsub QueueTensorFlowJob.pbs
  141  2023-12-21, 01:39:06qstat
  142  2023-12-21, 01:39:51qstat -a 5892
  143  2023-12-21, 01:46:02qstat
  144  2023-12-21, 01:53:10qsub QueueTensorFlowJob.pbs
  145  2023-12-21, 01:53:18qstat
  146  2023-12-21, 01:55:10qstat -f 5893
  147  2023-12-21, 02:00:25qstat
  148  2023-12-21, 02:02:25qstat -f 5873
  149  2023-12-21, 02:05:17qstat -f 5893
  150  2023-12-21, 02:06:37lscpu
  151  2023-12-21, 02:07:20nproc
  152  2023-12-21, 02:07:41top
  153  2023-12-21, 02:08:04top -i
  154  2023-12-21, 02:09:10top -P
  155  2023-12-21, 02:09:19top -p
  156  2023-12-21, 02:09:38top -i
  157  2023-12-21, 02:10:57mpstat
  158  2023-12-21, 02:11:45mpstat -P ALL
  159  2023-12-21, 02:12:41sar -u 5
  160  2023-12-21, 02:13:04nmon
  161  2023-12-21, 02:13:14gnome-system-monitor
  162  2023-12-21, 02:14:10top
  163  2023-12-21, 11:58:18qstat
  164  2023-12-21, 12:00:10exit
  165  2023-12-21, 13:52:35ls
  166  2023-12-21, 13:58:08cd inferenceTest/test2
  167  2023-12-21, 13:58:28cp ../test1/ .
  168  2023-12-21, 13:58:37cp -r ../test1/ .
  169  2023-12-21, 14:03:32cd test1/
  170  2023-12-21, 14:03:34ls
  171  2023-12-21, 14:04:21qsub QueueTensorFlowJob.pbs
  172  2023-12-21, 14:04:28qstat
  173  2023-12-21, 14:05:52module li
  174  2023-12-21, 14:05:58module avail
  175  2023-12-21, 14:07:57qsub QueueTensorFlowJob.pbs
  176  2023-12-21, 14:08:03qstat
  177  2023-12-21, 14:09:41module li
  178  2023-12-21, 14:11:33nvidia-smi
  179  2023-12-21, 14:18:35quota -s
  180  2023-12-21, 14:19:07qstat
  181  2023-12-21, 14:22:47top
  182  2023-12-21, 14:36:07nvidia-smi
  183  2023-12-21, 14:36:25qsub QueueTensorFlowJob.pbs
  184  2023-12-21, 14:37:48htop
  185  2023-12-21, 14:37:55ps-aux
  186  2023-12-21, 14:37:59psaux
  187  2023-12-21, 14:38:05ps_aux
  188  2023-12-21, 14:38:11ps aux
  189  2023-12-21, 14:44:48qstat
  190  2023-12-21, 14:49:17nvidia-smi
  191  2023-12-21, 15:11:38qsub QueueTensorFlowJob.pbs
  192  2023-12-21, 15:13:12qstat
  193  2023-12-21, 15:14:20qstat -f
  194  2023-12-21, 15:14:41qstat -f 5916
  195  2023-12-21, 15:19:15conda activate tf_test
  196  2023-12-21, 15:19:20conda list
  197  2023-12-21, 15:22:07qstat
  198  2023-12-21, 15:55:00qsub QueueTensorFlowJob.pbs
  199  2023-12-21, 15:55:12qstat
  200  2023-12-21, 17:46:23exit
  201  2023-12-21, 18:24:12cd /nfs/ihfs/home_metis/arunimb/inferenceTest/test2/test1/
  202  2023-12-21, 18:24:14ls
  203  2023-12-21, 18:56:17qstat
  204  2023-12-21, 19:02:17exit
  205  2024-01-20, 14:28:14ls
  206  2024-01-20, 14:28:18cd inferenceTest/q
  207  2024-01-20, 14:28:22cd inferenceTest/
  208  2024-01-20, 14:28:24ls
  209  2024-01-20, 14:28:28cd test1
  210  2024-01-20, 14:28:30ls
  211  2024-01-20, 14:28:43pwd]
  212  2024-01-20, 14:28:46pwd
  213  2024-01-20, 14:29:08cat kFoldMultilabel_Inference.py 
  214  2024-01-21, 03:18:16exit
  215  2024-02-05, 12:48:26cd inferenceTest
  216  2024-02-05, 12:48:28ls
  217  2024-02-05, 12:48:34cd test1
  218  2024-02-05, 12:48:35ls
  219  2024-02-05, 12:48:45history
  220  2024-02-05, 12:49:03history > log.txt
