AlphaPower,freezeFraction
1.50181132622351,0.0805555555555556
1.03876960832124,0.0194444444444444
1.11313435062338,0
1.01361901697788,0.00555555555555556
1.43076838516954,0
1.42474577208358,0
1.10868578390394,0
0.964642362562656,0
1.08141702737745,0
1.62157471185545,0
0.784436549276621,0
0.925616959923228,0
0.625027379248811,0
1.01563468098044,0
1.01479002661632,0
1.23767661690407,0
1.04442877683041,0
1.50516636728258,0
0.789863561195368,0
1.1301220440103,0
0.959905364088903,0.0361111111111111
0.841885138094756,0
1.35830663151706,0
1.77082497442461,0
0.779772515878084,0.258333333333333
0.922542890628441,0
1.61657358795466,0
1.04150648922129,0
0.587523542481731,0
1.14510385053621,0
0.978249925695602,0
0.90221303031981,0
0.927750344638042,0
1.28327530039121,0
0.986252829538272,0
1.64283809848158,0.00277777777777778
2.35732542413775,0
0.894662061015593,0
1.20844258644993,0
1.19915944741452,0.141666666666667
0.828826918190033,0.00277777777777778
0.725714369129523,0
0.936525113548918,0.00555555555555556
1.21556276033283,0
0.550517264570495,0
0.797760672004795,0
0.527808616177556,0.0194444444444444
0.748138600808163,0.0138888888888889
0.473994142649079,0
0.788477923964811,0.0527777777777778
0.283625629374735,0
0.999139136896433,0
0.74217887710182,0
0.711301996509484,0
0.514340871620183,0
0.917931855352636,0
0.723625136719207,0
0.79395899644879,0
0.626758522310519,0
0.875423382088896,0
0.474237752964021,0
0.549362728391912,0
0.612441844413543,0
0.528337430750276,0.00833333333333333
0.92013216082026,0
0.929503156697346,0
0.749989012667387,0
0.553603435838388,0
0.806500387273161,0
0.75603187576169,0
0.741510232147148,0
0.812025960644686,0
0.367813391123909,0
1.07636109775633,0
0.399975655589034,0
0.757366960644582,0
0.632790048454824,0.352777777777778
0.556043079808503,0
0.871004667336754,0.280555555555556
1.11921794123908,0
1.0293866880294,0
0.993012656274642,0
1.10116830580333,0
1.29469364477524,0
1.00987625833625,0
0.99506354186822,0.00277777777777778
0.968195746144512,0
1.17851673406029,0
0.798155027234301,0
0.775107639861949,0
0.781445432879297,0
0.680703761976401,0
0.80017972733941,0
0.540819592529132,0
0.932816843209264,0
0.87487326452761,0
0.875486035423479,0
0.80557556964518,0
1.28402827764355,0
1.22951492719741,0
1.06906483840168,0
0.564158743238981,0
0.804415459056298,0
1.09867457797162,0
0.702307144855997,0
0.571333459813809,0
1.20506292246525,0
0.508835390465373,0.177777777777778
0.842047684924602,0
1.01803750177331,0
1.1000366781054,0.133333333333333
0.629343504360692,0
0.818923601130334,0
0.728320067189703,0
1.45670453339629,0
0.741369647282842,0
1.04663393380189,0
0.571000903624558,0.108333333333333
0.520676667494393,0
0.693807143630199,0
0.658821222268346,0.102777777777778
0.670223295552517,0.00833333333333333
1.10403481403357,0.00277777777777778
0.944416535224315,0
0.443948707171866,0.00833333333333333
1.00805309315145,0.0638888888888889
0.704960083634303,0.102777777777778
0.714893107813516,0.00833333333333333
1.06551549856681,0.0277777777777778
0.756234705243786,0.233333333333333
0.7110100259777,0
1.0328644116261,0.116666666666667
0.935155061006538,0
0.996217344253142,0
0.95754237298219,0
0.854148927303503,0
0.978567708797825,0
0.877913835792855,0
0.926893339914316,0
1.10117508693292,0
0.852337030946399,0
0.988664027613808,0
1.01820278033652,0
0.94048943153842,0
0.473240044937706,0
0.999997615932615,0
0.98512451765668,0
1.18336462281697,0
1.02979320257898,0
0.75834114147798,0
0.675169417890277,0
1.46697072334393,0
0.513816581828545,0
0.796643190359403,0
1.30295634044679,0
0.677759687042203,0
0.645215663728106,0
0.646891987574327,0
0.71166058002293,0
0.987666863492698,0
1.31662865918553,0
1.5105388634177,0.0277777777777778
1.18811076387737,0
0.783086438579643,0
0.972928176658095,0.00277777777777778
