5106.776,1263.086,6606.138
5143.667,1147.141,6764.381
4964.306,1150.153,6686.098
4918.412,1073.553,6748.449
4840.394,994.6842,6645.438
5014.507,1214.33,6687.399
4847.251,843.2324,6732.501
5148.17,1122.184,6861.03
5054.838,1134.778,6867.739
5050.314,1301.238,6521.844
5143.551,1211.124,6604.659
4994.209,1137.795,6842.306
4976.255,1134.778,6862.811
4843.117,1162.502,6541.669
4998.521,1211.43,6652.281
4855.371,1130.524,6581.664
5087.943,1270.555,6638.246
5074.738,1185.535,6783.571
4880.368,1113.59,6639.852
5132.973,1205.279,6639.58
4835.929,820.1559,6730.169
4969.562,1142.381,6782.496
5127.938,1229.124,6596.784
4989.438,1164.968,6738.944
5041.91,1302.348,6530.653
5017.46,1196.763,6756.003
5050.543,1302.348,6528.36
5064.934,1294.978,6630.5
5135.756,1185.359,6701.037
5019.787,1189.313,6770.018
4846.156,1138.007,6566.005
5111.361,1237.607,6644.086
5203.14,975.7374,6869.353
4845.903,1187.324,6530.161
5104.177,1263.401,6546.985
4898.501,1032.35,6720.259
5168.699,1167.242,6675.057
5084.693,1258.585,6658.128
4967.864,1141.351,6780.029
4984.587,1302.348,6515.54
4951.645,1131.036,6853.572
4916.113,1113.144,6691.885
5047.252,1157.159,6811.116
5064.542,1228.691,6729.768
5051.328,1252.714,6681.907
5002.492,1147.258,6811.038
5195.129,1119.166,6798.834
5017.342,1145.601,6818.946
5009.039,1134.778,6868.591
4820.568,1177.699,6520.494
