CognitiveLoad,SwarmCohesion,TargetKnowledge,TerrainKnowledge,CogWindow
2.13515833829425,1,1,1,4
0.464051815173899,1,2,1,4
0.0198097631515156,1,1,2,4
0.110249674375218,1,2,2,4
-1.18200926928003,2,1,1,4
0.386172412629226,2,2,1,4
0.186785763843416,2,1,2,4
-0.248946089501316,2,2,2,4
0.598894847009074,1,1,1,4
0.585344096097272,1,2,1,4
-0.500426408135682,1,1,2,4
-0.682529513848322,1,2,2,4
-5.71856240478524,2,1,1,4
-0.684168931478845,2,2,1,4
-1.2729434799596,2,1,2,4
-0.308758096451729,2,2,2,4
-0.0708013644988985,1,1,1,4
2.18560643438267,1,2,1,4
0.817059665809955,1,1,2,4
1.542577608515,1,2,2,4
0.170405324184893,2,1,1,4
0.295291837858484,2,2,1,4
-0.902969137174932,2,1,2,4
1.05154650742929,2,2,2,4
15.1929222787126,1,1,2,4
-0.153249020885235,1,2,2,4
28.2732428202412,2,2,1,4
0.744340334214281,2,1,2,4
-0.0867096692965948,2,2,2,4
0.052358489421946,1,1,1,4
-0.0860475749359567,1,2,1,4
-0.0457208376091342,1,1,2,4
-1.33511060877139,1,2,2,4
-0.0243598632815094,2,1,1,4
2.32390998449147,2,2,1,4
-0.322915432944918,2,1,2,4
0.0937034689953999,2,2,2,4
1.08928941454982,1,1,1,4
-0.494787584113134,1,2,1,4
-0.124097157962452,1,1,2,4
0.597420316421338,1,2,2,4
-1.69852100021869,2,1,1,4
-0.194070047165857,2,2,1,4
0.184499938718424,2,1,2,4
0.393766840827036,2,2,2,4
-0.149085697682803,1,1,1,4
2.57285539141275,1,2,1,4
-0.859223208770832,1,1,2,4
-0.680433334011235,1,2,2,4
-1.85765224775224,2,1,1,4
0.0896047512136661,2,2,1,4
0.158304983300244,2,1,2,4
-0.993752600182526,2,2,2,4
0.285600642178639,1,1,1,4
-0.0512196445240923,1,2,1,4
0.231168761073252,1,1,2,4
0.483182090984066,1,2,2,4
-0.170782230751495,2,1,1,4
0.708334866547667,2,2,1,4
-0.0162369437436988,2,1,2,4
-0.462201964203096,2,2,2,4
-0.184022187195866,1,1,1,4
-0.439957182466385,1,2,1,4
-0.163339525350817,1,1,2,4
-0.0916198598968546,1,2,2,4
0.488423826819779,2,1,1,4
-0.393020947638633,2,2,1,4
-0.308179406390947,2,1,2,4
-0.394305255356098,2,2,2,4
0.988165933858138,1,1,1,4
0.0759163905220888,1,2,1,4
-0.0848525485424846,1,1,2,4
-0.39919442835492,1,2,2,4
-0.132022266070185,2,1,1,4
1.27532874723616,2,2,1,4
0.157665173670793,2,1,2,4
-6.79124584212599,2,2,2,4
-0.628003689215677,1,1,1,4
0.254229190052538,1,2,1,4
1.22828995526576,1,1,2,4
0.707427156979399,1,2,2,4
0.160442970568157,2,1,1,4
1.41681795375054,2,2,1,4
-0.0387689589682766,2,1,2,4
0.101840528175701,2,2,2,4
0.0421556838288131,1,1,1,4
-0.0825836506522583,1,2,1,4
-0.515757772098715,1,1,2,4
1.10165817234609,1,2,2,4
-0.0492332004502891,2,1,1,4
-0.51786502150508,2,2,1,4
0.167151173122565,2,1,2,4
0.156516572605101,2,2,2,4
0.255309446148119,1,1,1,4
-0.479034967252269,1,2,1,4
-0.329037772969373,1,1,2,4
0.605221089201057,1,2,2,4
1.04777267944191,2,1,1,4
-0.0883858162940158,2,2,1,4
-1.22406792524441,2,1,2,4
-0.210019158587012,2,2,2,4
-0.174022473216283,1,1,1,4
-1.52289380531296,1,2,1,4
-0.046013352643633,1,1,2,4
0.164073660187518,1,2,2,4
0.108486659355891,2,1,1,4
-0.329933897091224,2,2,1,4
-0.748438762779775,2,1,2,4
0.469745901513218,2,2,2,4
-0.455877064251423,1,1,1,4
-0.88692092103274,1,2,1,4
0.0791777137769432,1,1,2,4
-0.00356821848655491,1,2,2,4
-1.01628381903273,2,1,1,4
0.0636344075424256,2,2,1,4
-0.443653459551482,2,1,2,4
0.496606251344794,2,2,2,4
-0.698007417704283,1,1,1,4
-1.61567545743984,1,2,1,4
-6.49631159901927,1,1,2,4
-0.666429821451512,1,2,2,4
-2.07686249138015,2,1,1,4
-2.45754977041934,2,2,1,4
0.0824133578482348,2,1,2,4
-0.221517061842948,2,2,2,4
0.199679252950269,1,1,1,4
0.267639782618471,1,2,1,4
-0.652217926791581,1,1,2,4
1.10311988719754,1,2,2,4
0.0204158937617456,2,1,1,4
-0.186097174585348,2,2,1,4
-0.116386137072203,2,1,2,4
-0.636531751388312,2,2,2,4
-1.20466636029541,1,1,1,4
0.244417459934356,1,2,1,4
0.48894177235945,1,1,2,4
-0.244530469470875,1,2,2,4
0.241938626937136,2,1,1,4
-0.501480844595843,2,2,1,4
-0.796266004511072,2,1,2,4
0.507374926244905,2,2,2,4
-0.288232061212713,1,1,1,4
1.13957776231312,1,2,1,4
0.125871317556819,1,1,2,4
-1.41647051628032,1,2,2,4
0.495228483387432,2,1,1,4
0.599469075461837,2,2,1,4
0.614868484662726,2,1,2,4
1.24191126164485,2,2,2,4
-0.945305254888093,1,1,1,4
0.943345741348351,1,2,1,4
0.149799277373235,1,1,2,4
0.816974215555136,1,2,2,4
3.53182048002242,2,1,1,4
0.0767093479938369,2,2,1,4
1.70032777386916,2,1,2,4
-1.47861104523118,2,2,2,4
1.65819042743145,1,1,1,5
-0.0591743761001164,1,2,1,5
0.559775334179343,1,1,2,5
-0.164313722766195,1,2,2,5
0.294489541746507,2,1,1,5
0.224324371910729,2,2,1,5
-0.287197201521755,2,1,2,5
0.00215441172557779,2,2,2,5
0.332268458870356,1,1,1,5
0.332085726692408,1,2,1,5
-0.196701121680905,1,1,2,5
0.0115819426888485,1,2,2,5
-9.37270217378155,2,1,1,5
-2.29726716299564,2,2,1,5
0.336569764369678,2,1,2,5
-0.23217038820966,2,2,2,5
-0.153040461368499,1,1,1,5
1.41942700838829,1,2,1,5
0.504832769207654,1,1,2,5
1.52359596766136,1,2,2,5
-0.175865524156016,2,1,1,5
0.588308282010574,2,2,1,5
-0.696020222859265,2,1,2,5
0.94776346037991,2,2,2,5
21.4609779838788,1,1,2,5
-0.22379305478306,1,2,2,5
-6.07305865263797,2,2,1,5
0.869759414123538,2,1,2,5
-0.0849468918897991,2,2,2,5
0.471044950189127,1,1,1,5
0.0504303418555821,1,2,1,5
-0.106105788028692,1,1,2,5
-0.199720228646629,1,2,2,5
0.414814106992941,2,1,1,5
3.42411429463644,2,2,1,5
-0.297028291974039,2,1,2,5
0.705390974222098,2,2,2,5
1.2523100851976,1,1,1,5
-0.590239980017422,1,2,1,5
-0.409610056048361,1,1,2,5
0.623452836350242,1,2,2,5
-1.59773684468379,2,1,1,5
-0.246168892840148,2,2,1,5
-0.960730268010401,2,1,2,5
0.355692390900809,2,2,2,5
0.884650439826026,1,1,1,5
2.27878737040448,1,2,1,5
-1.13794010255563,1,1,2,5
0.434338896536327,1,2,2,5
-1.91855332459765,2,1,1,5
-0.245447830702786,2,2,1,5
1.95460668585753,2,1,2,5
-1.16133922306291,2,2,2,5
0.0817676634130688,1,1,1,5
0.0401107310386022,1,2,1,5
0.145103626386582,1,1,2,5
1.12332412421278,1,2,2,5
