 Window Size = 5, Outer Loop no. = 3, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.26215097308158875, MaxAccuracy = 0.373319536447525 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.5326370596885681, MaxAccuracy = 0.5931244492530823 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4077458679676056, MaxAccuracy = 0.684943437576294 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.3507397770881653, MaxAccuracy = 0.6723237633705139 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.35291558504104614, MaxAccuracy = 0.657528281211853 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.3794603943824768, MaxAccuracy = 0.6087902784347534 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.4699738919734955, MaxAccuracy = 0.634899914264679 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.4564839005470276, MaxAccuracy = 0.6022628545761108 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.34334203600883484, MaxAccuracy = 0.5665796399116516 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.35944297909736633, MaxAccuracy = 0.6061792969703674 
 Window Size = 5, Outer Loop no. = 4, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.35161009430885315, MaxAccuracy = 0.60008704662323 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.36526182293891907, MaxAccuracy = 0.5185185074806213 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.49297574162483215, MaxAccuracy = 0.7241379022598267 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.312899112701416, MaxAccuracy = 0.7241379022598267 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3524904251098633, MaxAccuracy = 0.664112389087677 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.3537675738334656, MaxAccuracy = 0.6577267050743103 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.3550446927547455, MaxAccuracy = 0.7241379022598267 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.29246488213539124, MaxAccuracy = 0.6385695934295654 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.4610472619533539, MaxAccuracy = 0.5644955039024353 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.4661557972431183, MaxAccuracy = 0.5823754668235779 
 Window Size = 10, Outer Loop no. = 0, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.27841633558273315, MaxAccuracy = 0.6232439279556274 
